farah@DESKTOP-4LG30UB:~/deploy$ kubectl get ingress -n sasoperator
NAME                                           CLASS   HOSTS                               ADDRESS        PORTS     AGE
sas-deployment-data                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-device-management                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-discovery-table-provider                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-documents                                  nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-drive                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-drive-app                                  nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-environment-manager-app                    nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-esp-ccs                                    nginx   farahmhamdi.com                     4.207.76.208   80, 443   5h
sas-event-monitor                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-event-stream-manager-app                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-event-stream-processing-metering-app       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-event-stream-processing-streamviewer-app   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-event-stream-processing-studio-app         nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-feature-flags                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-files                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-folders                                    nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-fonts                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-comparison                     nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-data-definition                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-events                         nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-exploration                    nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-filters                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-gateway                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-models                         nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-overrides                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-forecasting-pipelines                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-formats                                    nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-geo-enrichment                             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-glossary                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-graph-builder-app                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-graph-templates                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-identities                                 nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-import-9                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-information-catalog-app                    nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-insights                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-job-definitions                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-job-execution                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-job-execution-app                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-job-flow-scheduling                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-launcher                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-licenses                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-lineage-app                                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-links                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-localization                               nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-logon-app                                  nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-mail                                       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-maps                                       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-metering                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-microanalytic-score                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-ml-pipeline-automation                     nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-model-management                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-model-manager-app                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-model-publish                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-model-repository                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-model-studio-app                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-natural-language-conversations             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-natural-language-generation                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-natural-language-understanding             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-notifications                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-office-addin-app                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-parse-execution-provider                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-preferences                                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-qkb-management                             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-reference-data                             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-relationships                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-report-alerts                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-report-data                                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-distribution                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-images                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-operations                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-packages                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-renderer                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-templates                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-report-transforms                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-reports                                    nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-row-sets                                   nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-scheduler                                  nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-score-definitions                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-score-execution                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-search                                     nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-search-index                               nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-sentiment-execution-provider               nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-studio                                     nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
sas-studio-app                                 nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h29m
